01ETC0013J|MATUTINO||65|0.215|0.585|0.2|0|0.344|0.594|0.047|0.016
01ETC0006Z|VESPERTINO||211|0.177|0.507|0.316|0|0.238|0.467|0.19|0.105
01ETC0003C|VESPERTINO||218|0.23|0.355|0.396|0.018|0.338|0.356|0.19|0.116
01EMS0003U|VESPERTINO||51|0.373|0.451|0.176|0|0.431|0.49|0.039|0.039
01EMS0008P|MATUTINO||27|0|0.556|0.444|0|0.333|0.185|0.148|0.333
01DPT0007D|VESPERTINO||83|0.229|0.422|0.313|0.036|0.277|0.446|0.229|0.048
01PBH3291R|MATUTINO||31|0.033|0.2|0.633|0.133|0.033|0.233|0.167|0.567
01DBP0002T|MATUTINO||186|0.092|0.351|0.503|0.054|0.099|0.258|0.335|0.308
01SBC2031Z|MATUTINO||241|0.129|0.386|0.44|0.046|0.249|0.402|0.212|0.137
01SBC2072Z|MATUTINO||115|0.237|0.439|0.289|0.035|0.443|0.313|0.157|0.087
01DTA0103E|MATUTINO||140|0.087|0.348|0.536|0.029|0.146|0.285|0.321|0.248
01DTA0030C|MATUTINO||117|0.236|0.518|0.245|0|0.41|0.333|0.171|0.085
01DTA0040J|MATUTINO||184|0.137|0.393|0.415|0.055|0.109|0.293|0.245|0.353
01DCT0001F|MATUTINO||262|0.031|0.164|0.618|0.187|0.023|0.103|0.191|0.683
01DCT0199F|MATUTINO||298|0.037|0.242|0.596|0.125|0.047|0.299|0.272|0.383
01DCT0004C|VESPERTINO||154|0.401|0.368|0.224|0.007|0.353|0.412|0.176|0.059
01PCT0004H|MATUTINO||40|0.139|0.472|0.333|0.056|0.297|0.405|0.189|0.108
01PBH0021D|MATUTINO||166|0.152|0.461|0.37|0.018|0.349|0.367|0.193|0.09
01PBH0071L|MATUTINO||45|0.311|0.489|0.2|0|0.489|0.311|0.089|0.111
01PBH0072K|MATUTINO||54|0.259|0.426|0.296|0.019|0.389|0.426|0.111|0.074
01PBH0078E|VESPERTINO||30|0.267|0.533|0.2|0|0.367|0.433|0.133|0.067
01PBH0042Q|VESPERTINO||48|0.043|0.383|0.532|0.043|0.146|0.25|0.25|0.354
01PBH0082R|MATUTINO||85|0.156|0.273|0.532|0.039|0.229|0.506|0.205|0.06
01PBH0082R|VESPERTINO||22|0.364|0.318|0.318|0|0.545|0.364|0.091|0
01PBH0041R|MATUTINO||54|0.26|0.48|0.14|0.12|0.245|0.415|0.208|0.132
01PBH0075H|MATUTINO||44|0.233|0.349|0.326|0.093|0.326|0.349|0.256|0.07
01PBH0090Z|MATUTINO||77|0.237|0.395|0.368|0|0.276|0.487|0.197|0.039
01PBH0005M|MATUTINO||36|0|0.389|0.583|0.028|0.306|0.361|0.222|0.111
01PBH0018Q|MATUTINO||165|0.061|0.299|0.561|0.079|0.128|0.268|0.299|0.305
01PBH0039C|MATUTINO||10|0|0.3|0.5|0.2|0|0.5|0.2|0.3
01PBH0063C|MATUTINO||198|0.01|0.061|0.614|0.315|0|0.01|0.091|0.899
01ETH0037O|VESPERTINO||19|0.158|0.526|0.316|0|0.263|0.474|0.211|0.053
01ETH0001Z|MATUTINO||42|0.214|0.405|0.357|0.024|0.405|0.381|0.119|0.095
01ETH0023L|VESPERTINO||36|0.139|0.472|0.389|0|0.057|0.371|0.229|0.343
01UBH0001B|MATUTINO||172|0|0.135|0.789|0.076|0.017|0.18|0.419|0.384
01ETC0002D|VESPERTINO||240|0.171|0.417|0.396|0.017|0.25|0.358|0.254|0.138
02DCM0001V|MATUTINO||295|0.102|0.341|0.498|0.058|0.265|0.396|0.208|0.131
02DCM0001V|VESPERTINO||47|0.239|0.565|0.196|0|0.651|0.233|0.07|0.047
02DCM0001V|MATUTINO|EXTENSION 1|18|0.333|0.389|0.278|0|0.389|0.333|0.167|0.111
02DCT0201C|MATUTINO||484|0.05|0.222|0.629|0.1|0.088|0.261|0.263|0.388
02DCT0201C|VESPERTINO||359|0.063|0.288|0.573|0.077|0.129|0.329|0.272|0.27
02DCT0411H|MATUTINO||212|0.215|0.416|0.354|0.014|0.284|0.502|0.137|0.076
02DCT0411H|VESPERTINO||90|0.3|0.433|0.256|0.011|0.465|0.453|0.07|0.012
02DPT0006D|MATUTINO||171|0.186|0.348|0.422|0.043|0.327|0.417|0.161|0.095
02DPT0006D|VESPERTINO||137|0.19|0.416|0.387|0.007|0.416|0.445|0.102|0.036
02DTA0146B|MATUTINO|CAMALU|105|0.365|0.49|0.144|0|0.638|0.324|0.029|0.01
02DTA0198H|MATUTINO|EXTENSION 1|23|0.217|0.391|0.391|0|0.435|0.478|0.043|0.043
02ECB0011V|MATUTINO||328|0.034|0.226|0.621|0.119|0.089|0.309|0.278|0.324
02ECB0027W|MATUTINO||148|0.054|0.324|0.581|0.041|0.054|0.284|0.345|0.318
02ECB0027W|VESPERTINO||47|0.106|0.383|0.468|0.043|0.021|0.234|0.319|0.426
02ECB0035E|MATUTINO||119|0.186|0.347|0.441|0.025|0.198|0.405|0.267|0.129
02ECB0035E|VESPERTINO||22|0.136|0.273|0.545|0.045|0.136|0.591|0.182|0.091
02ECB0036D|MATUTINO||86|0.06|0.286|0.548|0.107|0.07|0.372|0.267|0.291
02ECB0040Q|VESPERTINO||55|0.148|0.278|0.556|0.019|0.241|0.407|0.278|0.074
02ECB0043N|VESPERTINO||37|0.108|0.514|0.351|0.027|0.135|0.297|0.405|0.162
02EMS0001V|VESPERTINO||25|0.2|0.36|0.4|0.04|0.28|0.44|0.16|0.12
02EMS0002U|VESPERTINO||55|0.13|0.296|0.519|0.056|0.273|0.327|0.236|0.164
02EMS0003T|VESPERTINO||38|0.026|0.237|0.658|0.079|0.184|0.421|0.263|0.132
02EMS0006Q|MATUTINO||29|0.241|0.345|0.345|0.069|0.429|0.321|0.214|0.036
02EMS0008O|VESPERTINO||42|0.146|0.39|0.39|0.073|0.238|0.405|0.119|0.238
02ETC0004A|MATUTINO||181|0.144|0.287|0.519|0.05|0.25|0.314|0.227|0.209
02ETC0004A|VESPERTINO||175|0.095|0.405|0.47|0.03|0.273|0.413|0.18|0.134
02ETC0004A|MATUTINO|ERENDIRA|25|0.174|0.609|0.217|0|0.56|0.44|0|0
02ETC0004A|MATUTINO|LA MISION|20|0.25|0.65|0.05|0.05|0.5|0.4|0.1|0
02ETC0004A|MATUTINO|SN A MINAS|11|0|0.455|0.273|0.273|0.091|0.091|0.455|0.364
02ETC0014H|MATUTINO||49|0.061|0.286|0.612|0.041|0.061|0.286|0.408|0.245
02ETC0014H|VESPERTINO||25|0.08|0.44|0.48|0|0.16|0.52|0.32|0
02ETC0014H|VESPERTINO|BAHIA ANGELE|4|0|0.75|0.25|0|0.75|0.25|0|0
02ETC0014H|VESPERTINO|COLONET|20|0|0.65|0.35|0|0.25|0.3|0.2|0.25
02ETC0014H|VESPERTINO|VILLA JESUS|11|0|0.636|0.364|0|0.273|0.273|0.364|0.091
02PBH0028W|MATUTINO||8|0|0.125|0.875|0|0.25|0.125|0.25|0.375
02PBH0030K|MATUTINO||34|0|0.03|0.667|0.303|0.063|0.094|0.25|0.594
02PBH0035F|MATUTINO||38|0|0.211|0.5|0.289|0.211|0.289|0.211|0.289
02PBH0048J|MATUTINO||18|0.111|0.056|0.778|0.056|0|0.333|0.222|0.444
02PBH0067Y|MATUTINO||22|0.045|0.636|0.318|0|0.364|0.364|0.182|0.091
02PBH0130J|MATUTINO||30|0.357|0.393|0.25|0|0.769|0.192|0.038|0
02PBH0130J|NOCTURNO||5|0.25|0.5|0.25|0|0.5|0.5|0|0
02PBH3041K|MATUTINO||138|0.007|0.066|0.581|0.346|0.029|0.184|0.265|0.522
02PBH3743B|MATUTINO||16|0|0.375|0.5|0.125|0.2|0.467|0.2|0.133
02PCT0012P|VESPERTINO||7|0.429|0.429|0.143|0|0.714|0.143|0.143|0
02PCT0044H|MATUTINO||31|0.333|0.333|0.333|0|0.536|0.393|0.036|0.036
02SBC2105Z|MATUTINO||47|0.314|0.514|0.171|0|0.545|0.364|0.091|0
02SBC2105Z|VESPERTINO||14|0.462|0.538|0|0|0.714|0.286|0|0
02SBC2105Z|NOCTURNO||7|0.333|0.333|0.333|0|0.714|0.286|0|0
02DCT0018E|MATUTINO||203|0.08|0.338|0.562|0.02|0.069|0.266|0.399|0.266
02DCT0018E|VESPERTINO||180|0.25|0.358|0.364|0.028|0.353|0.347|0.168|0.133
02DCT0075W|MATUTINO||214|0.188|0.365|0.438|0.01|0.232|0.398|0.204|0.166
02DCT0075W|VESPERTINO||130|0.177|0.468|0.347|0.008|0.359|0.516|0.109|0.016
02DCT0407V|MATUTINO||178|0.086|0.337|0.526|0.051|0.09|0.226|0.367|0.316
02DCT0407V|VESPERTINO||71|0.07|0.465|0.437|0.028|0.183|0.352|0.324|0.141
02DPT0004F|VESPERTINO||72|0.229|0.457|0.314|0|0.507|0.352|0.099|0.042
02DPT0012O|MATUTINO||195|0.11|0.429|0.429|0.033|0.403|0.424|0.11|0.063
02DPT0012O|VESPERTINO||101|0.32|0.402|0.258|0.021|0.71|0.24|0.04|0.01
02DTA0041H|MATUTINO||160|0.164|0.459|0.358|0.019|0.396|0.465|0.101|0.038
02DTA0041H|MATUTINO|EXTENSION 1|11|0.364|0.273|0.364|0|0.273|0.364|0.364|0
02ECB0001O|MATUTINO||195|0.137|0.342|0.479|0.042|0.161|0.378|0.259|0.202
02ECB0001O|VESPERTINO||63|0.426|0.377|0.197|0|0.525|0.328|0.098|0.049
02ECB0006J|VESPERTINO||30|0.133|0.467|0.4|0|0.1|0.233|0.433|0.233
02ECB0007I|MATUTINO||386|0.031|0.148|0.692|0.13|0.052|0.229|0.239|0.481
02ECB0007I|VESPERTINO||253|0.184|0.42|0.38|0.016|0.261|0.348|0.237|0.154
02ECB0010W|MATUTINO||242|0.084|0.368|0.502|0.046|0.095|0.26|0.273|0.372
02ECB0012U|MATUTINO||172|0.088|0.327|0.497|0.088|0.275|0.246|0.216|0.263
02ECB0012U|VESPERTINO||107|0.093|0.383|0.486|0.037|0.168|0.374|0.28|0.178
02ECB0026X|VESPERTINO||165|0.165|0.39|0.421|0.024|0.291|0.321|0.236|0.152
02ECB0031I|VESPERTINO||277|0.094|0.319|0.504|0.083|0.123|0.351|0.279|0.246
